date,gain
2007/11/20,131.9680508
2007/11/21,-191.0496575
2007/11/26,114.0087993
2007/11/27,53.92940542
2007/11/28,167.1515919
2007/11/29,74.87666863
2007/11/30,54.16029033
2007/12/3,-30.0330403
2007/12/4,-77.69711836
2007/12/5,103.7346151
2007/12/6,71.38107654
2007/12/7,54.64850475
2007/12/10,64.50665079
2007/12/11,-98.37258188
2007/12/12,9.694713811
2007/12/13,-167.0658527
2007/12/14,-97.34824603
2007/12/17,-166.5165398
2007/12/18,20.76414718
2007/12/19,-56.14311106
2007/12/20,15.05466746
2007/12/21,138.6560448
2007/12/27,63.09820605
2007/12/28,-6.587308176
2008/1/4,-277.041294
2008/1/7,-32.90564005
2008/1/8,-74.73699864
2008/1/9,-17.07332005
2008/1/10,-17.86668211
2008/1/11,-117.3814264
2008/1/15,-96.38581717
2008/1/16,-145.7214757
2008/1/17,-77.73454298
2008/1/18,-59.42555073
2008/1/22,-345.4350753
2008/1/23,30.0090378
2008/1/24,307.9301151
2008/1/25,20.0336564
2008/1/28,-46.5194025
2008/1/29,155.5404762
2008/1/30,-74.99333012
2008/1/31,145.4752105
2008/2/1,85.9833703
2008/2/4,17.60720037
2008/2/5,-282.2038452
2008/2/6,-105.6521002
2008/2/7,-100.48138
2008/2/8,-29.71411309
2008/2/12,185.8826442
2008/2/13,39.36803435
2008/2/14,49.03949727
2008/2/15,-73.1818022
2008/2/19,120.3057467
2008/2/20,-119.1828143
2008/2/21,89.97446742
2008/2/22,-3.014884239
2008/2/25,179.8732382
2008/2/26,96.70990789
2008/2/27,87.37510415
2008/2/28,-104.8980608
2008/2/29,-172.223741
2008/3/3,-131.2871219
2008/3/4,-35.69083321
2008/3/5,57.59784257
2008/3/6,-41.44472705
2008/3/7,-152.585395
2008/3/10,-112.4447844
2008/3/11,165.0441354
2008/3/12,123.8928755
2008/3/13,-57.55106888
2008/3/14,-129.2406917
2008/3/17,-182.7072191
2008/3/18,316.489339
2008/3/19,-167.1041807
2008/3/25,333.0218403
2008/3/26,-26.56281327
2008/3/27,-16.254948
2008/3/28,-41.64937652
2008/3/31,-16.19378946
2008/4/1,180.235791
2008/4/2,104.7502076
2008/4/3,49.30953791
2008/4/4,30.63699129
2008/4/7,39.49067468
2008/4/8,-93.09916392
2008/4/9,-28.40791701
2008/4/10,12.62030401
2008/4/11,-81.90979314
2008/4/14,-80.53876631
2008/4/15,25.00985214
2008/4/16,224.514628
2008/4/17,-1.852989214
2008/4/18,109.5908669
2008/4/21,26.25789019
2008/4/22,-48.126874
2008/4/23,21.25965082
2008/4/24,-28.1327641
2008/4/25,110.3941496
2008/4/28,6.007165386
2008/4/30,-53.86851529
2008/5/2,146.2934298
2008/5/7,-81.16255787
2008/5/8,36.49816887
2008/5/9,-136.6216755
2008/5/12,83.88850886
2008/5/13,-21.24880249
2008/5/14,32.54945129
2008/5/15,83.19726085
2008/5/16,53.10345892
2008/5/19,48.95479531
2008/5/20,-131.0303993
2008/5/21,-93.60142517
2008/5/22,16.95838502
2008/5/23,-90.53342724
2008/5/27,-42.3752667
2008/5/28,-2.38610996
2008/5/29,52.62551008
2008/5/30,24.64124472
2008/6/2,-66.85911775
